,name,english_name,release_time
0,['歌妖曲〜百變★中川大志〜現場直播'],['KAYOUKYOKU'],['2022-11-17']
1,['NCT DREAM THE MOVIE : In A DREAM'],['NCT DREAM THE MOVIE : In A DREAM'],['2022-11-30']
2,['D1_偶像夢幻祭!! DREAM LIVE -7th Tour Allied Worlds- 現場直播'],['D1_ENSEMBLE STARS!! DREAM LIVE -7TH TOUR'],['2022-11-25']
3,['D2_偶像夢幻祭!! DREAM LIVE -7th Tour Allied Worlds- 現場直播'],['D2_ENSEMBLE STARS!! DREAM LIVE -7TH TOUR'],['2022-11-26']
4,['D3_偶像夢幻祭!! DREAM LIVE -7th Tour Allied Worlds- 現場直播'],['D3_ENSEMBLE STARS!! DREAM LIVE -7TH TOUR'],['2022-11-27']
5,['D4_偶像夢幻祭!! DREAM LIVE -7th Tour Allied Worlds- 現場直播'],['D4_ENSEMBLE STARS!! DREAM LIVE -7TH TOUR'],['2022-12-16']
6,['D5_偶像夢幻祭!! DREAM LIVE -7th Tour Allied Worlds- 現場直播'],['D5_ENSEMBLE STARS!! DREAM LIVE -7TH TOUR'],['2022-12-17']
7,['D6_偶像夢幻祭!! DREAM LIVE -7th Tour Allied Worlds- 現場直播'],['D6_ENSEMBLE STARS!! DREAM LIVE -7TH TOUR'],['2022-12-18']
8,['新．超人力霸王 + 超人力霸王：被禁止的話語'],['SHIN ULTRAMAN AND EPISODE 33'],['2022-11-04']
9,['迴咒師--塩子的誕生'],['THE DIVINE PROTECTOR MASTER SALT BEGINS'],['2022-11-04']
10,['獵空計畫'],['MISSION SKY'],['2022-11-04']
11,['索蘭琪的少女心事'],['PETITE SOLANGE'],['2022-11-04']
12,['絕命線阱'],['ON THE LINE'],['2022-11-04']
13,['遺屍物'],['LOST AND FOUND'],['2022-11-04']
14,['局中局'],['CONFESSION'],['2022-11-04']
15,['瑞士鐘錶師'],['UNREST'],['2022-11-04']
16,['大逃殺 4K數位修復版'],['BATTLE ROYALE'],['2022-11-04']
17,['小藍'],['LITTLE BLUE'],['2022-11-04']
18,['刀劍神域劇場版–PROGRESSIVE-陰沉薄暮的詼諧曲'],['SWORD ART ONLINE THE MOVIE PROGRESSIVE- SCHERZO OF DEEP NIGHT'],['2022-11-04']
19,['玩命光頭'],['VERY BALD TRIP'],['2022-11-04']
